Team,Played,Points,PPG
Qatar,10.38709677,21.77419355,2.154438872
Germany,10,27,2.7
Denmark,10,27,2.7
Brazil,17,45,2.647058824
France,8,18,2.25
Belgium,8,20,2.5
Serbia,8,20,2.5
Spain,8,19,2.375
Croatia,10,23,2.3
Switzerland,8,18,2.25
England,10,1,0.1
Netherlands,10,23,2.3
Argentina,17,39,2.294117647
Iran,10,25,2.5
South Korea,10,23,2.3
Saudi Arabia,10,23,2.3
Japan,10,22,2.2
Uruguay,18,28,1.555555556
Ecuador,18,26,1.444444444
Canada,14,28,2
Ghana,6,13,2.166666667
Senegal,6,16,2.666666667
Poland,10,20,2
Portugal,8,17,2.125
Tunisia,6,13,2.166666667
Morocco,6,18,3
Cameroon,6,15,2.5
United States,14,25,1.785714286
Mexico,14,28,2
Wales,8,15,1.875
Australia,10,15,1.5
Costa Rica,14,25,1.785714286
